sorted by 1st:
../data/all_Normal.csv
,rate,sttl,swin,dwin,ct_state_ttl,ct_dst_sport_ltm,dtcpb,stcpb,dmean,sloss,sload,dload,dttl,spkts,dpkts,ct_src_dport_ltm,dur,dloss,tcprtt,synack,ackdat,smean,trans_depth,is_sm_ips_ports,dbytes,sinpkt,sbytes,ct_src_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_flw_http_mthd,djit,is_ftp_login,ct_ftp_cmd,sjit,response_body_len,dinpkt,ct_srv_dst,ct_srv_src,service,proto,label,state,attack_cat,id
avg,19588.290163112935,94.8900752688172,183.594311827957,176.67578494623655,0.6957204301075269,1.1485806451612903,1480589396.1900969,1491325398.3014624,221.43098924731183,4.729784946236559,29768115.01987971,1788697.3669035465,81.84867741935484,27.563172043010752,33.02793548387097,1.7793763440860215,1.0154067355376346,12.17183870967742,0.04908785270967742,0.026751355806451615,0.022336496903225804,145.41266666666667,0.10011827956989247,0.03954838709677419,26138.19735483871,2344.19575630114,4092.444376344086,3.978978494623656,3.8893548387096772,3.431655913978495,0.14310752688172043,837.5593299383441,0.014172043010752687,0.014258064516129033,6491.784814191431,3218.9432150537637,142.78789777998924,5.5350430107526885,5.829548387096774,X,X,X,X,X,X
std,83965.6183787526,100.40238629942014,114.48749515182574,117.62636994358148,1.1970909934386182,1.5740261117546954,1426246507.6403422,1430020599.3163917,306.9000362818064,7.9107559116393436,168418551.5094741,3755007.0000447067,100.04454402739127,53.2982653053718,97.45643666564939,2.4054893402158344,4.559351624867003,45.232249039576686,0.12107587309925023,0.07353633014707212,0.05831492458053528,198.033052815174,0.3026193659262395,0.194895644319769,128712.97160271053,11298.52305354188,12903.340789255266,3.9587115083053392,5.520520332818024,3.45551080049788,0.6493369813276385,5566.660888540692,0.1183816158039002,0.11927621356806906,56895.60547379443,39995.70870293424,1603.8515398507059,5.765585511331234,5.9277060433046715,X,X,X,X,X,X

../data/all_Backdoor.csv
,rate,sttl,swin,dwin,ct_state_ttl,ct_dst_sport_ltm,dtcpb,stcpb,dmean,sloss,sload,dload,dttl,spkts,dpkts,ct_src_dport_ltm,dur,dloss,tcprtt,synack,ackdat,smean,trans_depth,is_sm_ips_ports,dbytes,sinpkt,sbytes,ct_src_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_flw_http_mthd,djit,is_ftp_login,ct_ftp_cmd,sjit,response_body_len,dinpkt,ct_srv_dst,ct_srv_src,service,proto,label,state,attack_cat,id
avg,149210.04922284585,247.83512237011593,35.36496350364963,35.36496350364963,1.8909403177329327,2.5465865178188065,295201101.03649634,307806126.955775,17.838557320738513,0.32717904680120224,120396989.27221003,2573.6068387509663,36.57191927866037,6.76728209531988,1.458995276942894,2.5573207385143837,2.2245579819665093,0.3598110777157578,0.017741238299699442,0.008403958351223702,0.00933727994847574,103.25203950193216,0.0364963503649635,0.0,295.29411764705884,86.64514395105195,1520.861743237441,4.760841562902534,4.774581365392873,2.8965221124946328,0.045942464577071705,44.722226428939464,0.0,0.0,904.6962120966081,11.687419493344784,15.812873485616144,5.842851009016745,6.127522541863461,X,X,X,X,X,X
std,171422.52762865854,35.88379153682089,88.1327694436989,88.1327694436989,0.7332789955517438,1.9183858073847866,873352672.4295317,900848427.9423251,80.12053311855603,1.1271065038365993,148358664.78277946,17580.403527580085,86.98850302204693,18.55272119322487,4.356698501497805,1.919661404035501,9.616228423228039,1.5351161198582908,0.05035450824174779,0.025891915496264007,0.02637297235409412,67.64674443106703,0.19204645814566262,0.0,2681.636779127507,392.95086464066827,13015.073486366084,4.680784319131006,3.844143455705395,2.444230843808256,0.29163532364354255,301.01251341489717,0.0,0.0,4684.366594689035,261.66068578886967,76.40872591986484,4.382156893837442,4.7312998061136735,X,X,X,X,X,X

../data/svmexpone_Backdoor.csv
